SpatialDimValueCode,Location,Period,Sanitation,GdpPerCapita,PositiveCoef,NegativeCoef,ImmunizationMean,SmoothingLifeExpectancy,Reg_AFR,Reg_EUR
FJI,Fiji,2021,93.74501913762471,4657.720958153342,0.8316551042844734,0.6224431423252322,98.82113863195569,67.68454699936238,0.0,0.0
FJI,Fiji,2022,93.82087933973784,4363.264354614626,0.8316551042844734,0.6224431423252322,99.59206361492676,67.64336572623007,0.0,0.0
FJI,Fiji,2023,93.89314953966473,4127.699071783654,0.8316551042844734,0.6224431423252322,100.20880360130361,67.61042070772423,0.0,0.0
FRA,France,2021,98.65000105023081,39140.880483007335,0.9282169846852217,0.8134587348871816,95.60221942515797,81.80861915186657,0.0,1.0
FRA,France,2022,98.65000215508826,38810.12285347077,0.9282169846852217,0.8134587348871816,95.88879065704268,81.66854255258993,0.0,1.0
FRA,France,2023,98.65000324889714,38482.672800229564,0.9282169846852217,0.8134587348871816,96.11804764255042,81.55575337325422,0.0,1.0
FSM,Micronesia (Federated States of),2021,79.46518068376972,3363.0214227182128,0.7981679159566437,0.5768633448706969,83.06434619810445,65.67421544534324,0.0,0.0
FSM,Micronesia (Federated States of),2022,76.26717734657889,3331.1330382894384,0.7981679159566437,0.5768633448706969,84.7089261750414,65.63467296439688,0.0,0.0
FSM,Micronesia (Federated States of),2023,73.29859826601783,3305.6223307449964,0.7981679159566437,0.5768633448706969,86.02459015706181,65.6030389796398,0.0,0.0
GAB,Gabon,2021,50.01866211570637,6439.784198449377,0.8279549918440866,0.8175292853489218,57.70094471592042,65.326052039809,1.0,0.0
GAB,Gabon,2022,50.17518925937681,6132.594923059136,0.8279549918440866,0.8175292853489218,55.564520690749255,65.50594341924172,1.0,0.0
GAB,Gabon,2023,50.324596978682976,5827.416626422501,0.8279549918440866,0.8175292853489218,53.85538147061232,65.6778915025087,1.0,0.0
GBR,United Kingdom of Great Britain and Northern Ireland,2021,99.10999084043772,39678.80711639252,0.970918845308427,0.7628632719248526,92.08381821916755,80.0440280460176,0.0,1.0
GBR,United Kingdom of Great Britain and Northern Ireland,2022,99.10998793379095,38759.23704902984,0.970918845308427,0.7628632719248526,91.91253858122299,79.82770575493345,0.0,1.0
GBR,United Kingdom of Great Britain and Northern Ireland,2023,99.10998505671738,37848.86268234079,0.970918845308427,0.7628632719248526,91.77551487086733,79.65258949462174,0.0,1.0
GEO,Georgia,2021,86.34188007309595,4258.021085369925,0.8256158042874111,0.6631640790022967,88.23924776867675,73.0532470266691,0.0,1.0
GEO,Georgia,2022,86.26060739504142,4142.357777254683,0.8256158042874111,0.6631640790022967,86.74648712129068,72.89768719436209,0.0,1.0
GEO,Georgia,2023,86.18651172238478,4038.049922186029,0.8256158042874111,0.6631640790022967,85.55227860338184,72.77323932851648,0.0,1.0
GHA,Ghana,2021,27.331092086506573,2247.4726383222296,0.7794938826615577,0.8482043034378104,90.65829903921298,66.54345675167116,1.0,0.0
GHA,Ghana,2022,28.482597693168074,2286.2807513107664,0.7794938826615577,0.8482043034378104,89.58868694980686,66.87505866618537,1.0,0.0
GHA,Ghana,2023,29.62834577179624,2324.8134677223525,0.7794938826615577,0.8482043034378104,88.73299727828194,67.20500257112701,1.0,0.0
GIN,Guinea,2021,29.952752277306605,1098.1064887560885,0.7591483975343429,0.8789464765582052,47.3447964811765,61.42496298786946,1.0,0.0
GIN,Guinea,2022,31.108415288473143,1129.7346489994143,0.7591483975343429,0.8789464765582052,47.35114275831046,61.621363138235424,1.0,0.0
GIN,Guinea,2023,32.25829998458384,1155.037177194075,0.7591483975343429,0.8789464765582052,47.35621978002071,61.80035278115025,1.0,0.0
GMB,Gambia,2021,47.45046147471699,734.8342244165335,0.7471407086656091,0.8903891433410962,83.66957684090231,64.94854830813517,1.0,0.0
GMB,Gambia,2022,47.53193279873132,741.7726770936836,0.7471407086656091,0.8903891433410962,82.2998467514474,65.04682757339638,1.0,0.0
GMB,Gambia,2023,47.59710985794278,747.5587424723094,0.7471407086656091,0.8903891433410962,81.20406267988349,65.14155031121363,1.0,0.0
GNB,Guinea-Bissau,2021,27.67783441186131,827.7156987648906,0.7048908350743387,0.8881290454407911,67.53293073274965,58.44057311692082,1.0,0.0
GNB,Guinea-Bissau,2022,29.008158394008305,834.5407324121408,0.7048908350743387,0.8881290454407911,65.63782601139921,58.371826634546366,1.0,0.0
GNB,Guinea-Bissau,2023,30.331830756244294,840.0007593299408,0.7048908350743387,0.8881290454407911,64.12174223431887,58.30673726215979,1.0,0.0
GNQ,Equatorial Guinea,2021,38.76202537243699,4973.512233838393,0.7804774882050759,0.8457971632723983,60.648059231063705,61.14597831567287,1.0,0.0
GNQ,Equatorial Guinea,2022,38.49962137357879,4126.390355393202,0.7804774882050759,0.8457971632723983,61.39987797006746,61.095893124223466,1.0,0.0
GNQ,Equatorial Guinea,2023,38.28969817449223,3287.739695732463,0.7804774882050759,0.8457971632723983,62.001332961270464,61.05402269279517,1.0,0.0
GRC,Greece,2021,98.99265621887487,17584.56347386727,0.9069268575337249,0.7511752857345398,98.33302052669521,80.5890419889713,0.0,1.0
GRC,Greece,2022,98.99427617101928,17028.93419367589,0.9069268575337249,0.7511752857345398,98.33312276961041,80.51503127543879,0.0,1.0
GRC,Greece,2023,98.99579981590837,16478.86120628642,0.9069268575337249,0.7511752857345398,98.33320958786578,80.45582270461277,0.0,1.0
GRD,Grenada,2021,87.8502550231322,8843.991429763522,0.8389768205194776,0.7075658841234932,72.60780300215413,75.85921286340213,0.0,0.0
GRD,Grenada,2022,88.05237328072538,8522.359354040467,0.8389768205194776,0.7075658841234932,67.95561994452281,76.57603280750672,0.0,0.0
GRD,Grenada,2023,88.21406788679991,8256.465013586823,0.8389768205194776,0.7075658841234932,64.23387349841776,77.14948876279038,0.0,0.0
GTM,Guatemala,2021,68.80818043588675,4552.982280929852,0.8431595047883222,0.6386962247835672,89.79010198707934,70.65034172411356,0.0,0.0
GTM,Guatemala,2022,69.08017408850502,4602.238622267081,0.8431595047883222,0.6386962247835672,90.18868022107758,70.18425076420317,0.0,0.0
GTM,Guatemala,2023,69.34525970578726,4648.561857814337,0.8431595047883222,0.6386962247835672,90.50754280827617,69.81137799627487,0.0,0.0
GUY,Guyana,2021,90.36285531816243,7014.88860564281,0.8308209149432909,0.8140215115130511,96.0593104271023,66.70048937493578,0.0,0.0
GUY,Guyana,2022,90.96376787629849,7286.082878319265,0.8308209149432909,0.8140215115130511,95.83901703470629,66.26555317388771,0.0,0.0
GUY,Guyana,2023,91.56167587164386,7555.723678022956,0.8308209149432909,0.8140215115130511,95.66278232078668,65.91760421304926,0.0,0.0
HND,Honduras,2021,83.60051489845331,2290.53608042932,0.847063314221198,0.4844165657351402,78.1994982484581,70.18375260806442,0.0,0.0
HND,Honduras,2022,84.41250464749072,2243.626129087773,0.847063314221198,0.4844165657351402,75.47367741338851,69.91817589134163,0.0,0.0
HND,Honduras,2023,85.2158966820891,2202.0726085931265,0.847063314221198,0.4844165657351402,73.29302074533285,69.70571451796341,0.0,0.0
HRV,Croatia,2021,96.17054038581774,14929.35698021226,0.9023960889741357,0.7025399870125014,93.16443536744288,77.8064907061531,0.0,1.0
HRV,Croatia,2022,96.18029870636539,14873.30868359049,0.9023960889741357,0.7025399870125014,93.16775828987662,77.6622868072378,0.0,1.0
HRV,Croatia,2023,96.18954274251358,14828.470046293076,0.9023960889741357,0.7025399870125014,93.17041662782361,77.54692368810558,0.0,1.0
HTI,Haiti,2021,37.93027254247243,1258.8982437036113,0.8010418203927616,0.8259972799345251,53.27843526355295,63.45765160083081,0.0,0.0
HTI,Haiti,2022,38.59425402819927,1226.232089049123,0.8010418203927616,0.8259972799345251,51.59426839408608,63.44687348162343,0.0,0.0
HTI,Haiti,2023,39.243585670589255,1200.0991653255326,0.8010418203927616,0.8259972799345251,50.24153992093572,63.43825098625742,0.0,0.0
HUN,Hungary,2021,97.97689981391976,16386.50535895508,0.8861032966164852,0.6719796613896846,99.00000000352684,75.72989441295509,0.0,1.0
HUN,Hungary,2022,97.97249149219773,16429.648095739685,0.8861032966164852,0.6719796613896846,99.00000000498318,75.6251618361024,0.0,1.0
HUN,Hungary,2023,97.96812825072251,16464.41587116513,0.8861032966164852,0.6719796613896846,99.00000000614824,75.54137577462024,0.0,1.0
IDN,Indonesia,2021,86.61149178815393,3886.412121712505,0.810681752211568,0.7859062125534251,74.26607007419449,69.46437321298613,0.0,0.0
IDN,Indonesia,2022,88.85863663798966,3869.822593377654,0.810681752211568,0.7859062125534251,71.46821502711961,69.05680945409232,0.0,0.0
IDN,Indonesia,2023,91.09454576357622,3856.550970709773,0.810681752211568,0.7859062125534251,69.22993098945898,68.73075844697728,0.0,0.0
IND,India,2021,75.47749828530335,1916.2911441449216,0.7380265810339875,0.8220693990795652,85.76473532824824,70.26202065867044,0.0,0.0
IND,India,2022,78.36063444988307,1899.3907779077617,0.7380265810339875,0.8220693990795652,84.4216698992735,70.21529142091129,0.0,0.0
IND,India,2023,81.2293549336399,1885.1480030842934,0.7380265810339875,0.8220693990795652,83.27427435626691,70.17205086585817,0.0,0.0
IRL,Ireland,2021,89.25598785617328,92098.72887432188,0.9817583706676825,0.6963508188623889,93.23071214191626,81.74056159627901,0.0,1.0
IRL,Ireland,2022,89.22778156270172,96535.3691525021,0.9817583706676825,0.6963508188623889,93.21800387245139,81.72904949577224,0.0,1.0
IRL,Ireland,2023,89.20046945073575,100927.6430279005,0.9817583706676825,0.6963508188623889,93.2078372568794,81.71931335487456,0.0,1.0
IRN,Iran (Islamic Republic of),2021,90.59253737618349,2522.1268590390796,0.8559393505931215,0.785715255460067,99.00736876188516,74.75060600356085,0.0,0.0
IRN,Iran (Islamic Republic of),2022,90.88230937577707,2092.1907102304945,0.8559393505931215,0.785715255460067,99.01035468909873,74.07822311528571,0.0,0.0
IRN,Iran (Islamic Republic of),2023,91.16185276754463,1748.2417911836264,0.8559393505931215,0.785715255460067,99.0127434308696,73.54031680466561,0.0,0.0
IRQ,Iraq,2021,99.56353725893898,4159.928125632451,0.8052781782315568,0.7120178452109934,82.1935736812069,70.1002857209471,0.0,0.0
IRQ,Iraq,2022,100.50978618853951,3858.295192494809,0.8052781782315568,0.7120178452109934,82.01942538965771,69.507782694561,0.0,0.0
IRQ,Iraq,2023,101.44830455570992,3616.988845784727,0.8052781782315568,0.7120178452109934,81.88010675623802,69.03378027345211,0.0,0.0
ISL,Iceland,2021,98.7800008204899,56253.24298211414,0.9759300947541087,0.7012252352516315,93.44446076667649,82.63172809044457,0.0,1.0
ISL,Iceland,2022,98.78000147622136,51785.891780038444,0.9759300947541087,0.7012252352516315,93.7882610560905,82.69817666455955,0.0,1.0
ISL,Iceland,2023,98.78000212529257,47363.21408998351,0.9759300947541087,0.7012252352516315,94.06330128762173,82.7571906176983,0.0,1.0
ISR,Israel,2021,99.93514403933519,46107.31229518594,0.9171259759652823,0.7882925824078453,98.53574850931915,82.36538204377797,0.0,1.0
ISR,Israel,2022,99.93121890692146,47342.16195175186,0.9171259759652823,0.7882925824078453,98.65170814217473,82.32751100948276,0.0,1.0
ISR,Israel,2023,99.92733302583186,48564.663111752125,0.9171259759652823,0.7882925824078453,98.74447584845919,82.2972141820466,0.0,1.0
ITA,Italy,2021,99.89,31852.159063533836,0.945133440007735,0.8161095721020982,93.35916241836925,81.81324436001269,0.0,1.0
ITA,Italy,2022,99.89,31262.502337276954,0.945133440007735,0.8161095721020982,93.06708535949036,81.5756689789595,0.0,1.0
ITA,Italy,2023,99.89,30678.74217828264,0.945133440007735,0.8161095721020982,92.83342371238578,81.38560867411695,0.0,1.0
JAM,Jamaica,2021,86.72355560970693,4780.901280392444,0.8604920701306148,0.5027290338931109,94.72154768277883,72.67075802770748,0.0,0.0
JAM,Jamaica,2022,86.80504765108331,4550.912933705078,0.8604920701306148,0.5027290338931109,94.66547425707704,72.74601734997718,0.0,0.0
JAM,Jamaica,2023,86.88490557429562,4323.257934037193,0.8604920701306148,0.5027290338931109,94.62061551651063,72.80622480779303,0.0,0.0
